City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
503,Takaungu,-3.6837,39.8566,78.64,84,93,9.73,KE,2021-04-11 22:34:03,light rain
504,Madang,-5.2246,145.7966,79.0,84,97,3.29,PG,2021-04-11 22:34:03,overcast clouds
505,Brownwood,31.7093,-98.9912,89.6,15,1,10.36,US,2021-04-11 22:32:26,clear sky
506,Shingu,33.7333,135.9833,59.72,62,100,9.93,JP,2021-04-11 22:34:04,overcast clouds
507,Kieta,-6.2167,155.6333,83.84,67,96,1.61,PG,2021-04-11 22:34:04,light rain
508,Oistins,13.0667,-59.5333,78.8,69,75,13.8,BB,2021-04-11 22:33:26,volcanic ash
509,Kotturu,14.8167,76.2167,76.62,59,0,1.79,IN,2021-04-11 22:34:05,clear sky
510,Bandrele,-12.9067,45.1914,78.8,89,0,3.44,YT,2021-04-11 22:34:05,clear sky
511,Elko,41.0002,-115.5012,59.0,15,1,17.27,US,2021-04-11 22:30:12,clear sky
512,Havelock,34.8791,-76.9013,66.99,84,100,8.01,US,2021-04-11 22:34:05,overcast clouds
513,Flinders,-34.5833,150.8552,54.0,47,0,12.66,AU,2021-04-11 22:34:06,clear sky
514,Vikulovo,56.8167,70.6107,33.78,80,63,10.69,RU,2021-04-11 22:34:06,broken clouds
515,Delaware,39.0004,-75.4999,66.99,94,20,9.22,US,2021-04-11 22:33:19,few clouds
516,Nome,64.5011,-165.4064,25.0,86,90,27.63,US,2021-04-11 22:34:07,snow
517,Nizwa,22.9333,57.5333,74.37,50,1,1.34,OM,2021-04-11 22:34:07,clear sky
